SELLER_ID,BUYER_ID,SELLER_NAME,BUYER_NAME,SELLER_NON_COMPLIANCE,BUYER_NON_COMPLIANCE,TOTAL_GROSS_SALES_AMOUNT,NO_OF_INVOICES
3631325814,9518300779,Cyber Security 3,Continential Data Corporation 8,0,0,147153.59999999998,4
3631325814,9518300779,Cyber Security 3,Continential Data Corporation 8,0,0,28118.4,1
3631325814,2981119290,Cyber Security 3,Visual Automation 8,0,1,35035.200000000004,1
3631325814,7950135400,Cyber Security 3,Key Software 7,0,0,64677.6,1
4839332485,2915993852,"American Paradigm Unlimited, Inc 3",Cyber Innovation Corp 3,0,0,37615.2,1
4839332485,3823541313,"American Paradigm Unlimited, Inc 3",Key Wireless Corp 8,0,0,63268.8,2
4839332485,4798633356,"American Paradigm Unlimited, Inc 3",Quantum Wireless 10,0,0,19290.0,1
6981756676,401573812,Moving Business 10,Canadian Consulting Design 6,0,0,51157.2,1
6981756676,284707048,Moving Business 10,Global Solutions Studios 7,0,0,49582.799999999996,1
6981756676,1385306425,Moving Business 10,Silicon Innovation LLC 10,0,0,45911.99999999999,2
6981756676,8188147916,Moving Business 10,American Software,0,0,49443.600000000006,1
4997713523,9179873185,"Open Networks Unlimited, Inc 5",Canadian Consulting Design 9,0,0,20971.2,1
4997713523,166621836,"Open Networks Unlimited, Inc 5",Technical Computer Ltd 3,0,0,41381.99999999999,1
4997713523,7673024596,"Open Networks Unlimited, Inc 5",Visual Automation 4,0,0,56871.6,1
9591475563,4905191198,Corporate Opportunities Ltd 4,Expert Telecom 6,0,0,52716.0,2
9591475563,9242934133,Corporate Opportunities Ltd 4,External Solutions LLC 5,0,0,88516.8,1
1158429050,2620711188,Profit Server Concierge 7,Technical Concepts Studios 5,0,1,134920.8,2
1158429050,7791591251,Profit Server Concierge 7,Expert Interactive Resources 3,0,0,49815.6,1
9162886236,9063890305,"External Client Unlimited, Inc 9",Future Solutions LLC 9,0,0,55702.8,1
9162886236,3219946246,"External Client Unlimited, Inc 9",North American Automation Corp 3,0,0,37170.0,1
9162886236,3791750938,"External Client Unlimited, Inc 9",Integrity 9,0,0,34106.399999999994,1
7751355833,5194329945,Visual Interworks Design 2,Micro Production 3,0,0,38168.399999999994,1
7751355833,8968268655,Visual Interworks Design 2,Advanced Byte Inc 4,0,0,66556.8,1
2174249386,228541401,Canadian Community Group 2,Quantum Server Universal 7,0,0,65767.2,1
2174249386,257435657,Canadian Community Group 2,Key Software 3,0,0,54264.0,2
2174249386,1173583648,Canadian Community Group 2,North American Interworks Studios 3,0,0,33793.2,1
4561308304,6438755849,Certified Security 5,Key Software 8,0,0,17462.399999999998,1
4561308304,709183361,Certified Security 5,"External Client Unlimited, Inc 6",0,0,36712.8,2
4561308304,2753544847,Certified Security 5,Certified Integrity Technologies 2,0,0,26347.199999999997,1
9352898330,2224568810,Reliable Services Advertising 5,Advanced Byte Inc 10,0,0,31638.0,1
9352898330,8957772298,Reliable Services Advertising 5,Ironclad Client Group 3,0,0,106401.6,3
9352898330,8957772298,Reliable Services Advertising 5,Ironclad Client Group 3,0,0,26364.0,1
4846671032,1735824620,Administrative Innovation 2,Certified Paradigm Concierge 9,0,0,37068.0,1
4846671032,5950950643,Administrative Innovation 2,Ironclad Client Group 4,0,0,38826.0,1
4846671032,2763475763,Administrative Innovation 2,Administrative Paradigm Universal 9,0,0,159339.6,3
4846671032,2763475763,Administrative Innovation 2,Administrative Paradigm Universal 9,0,0,32318.399999999998,1
4846671032,472082997,Administrative Innovation 2,North American Interworks Studios 10,0,0,29458.800000000003,1
5246766035,1050420442,"American Paradigm Unlimited, Inc 4",Internet Computer Vision 3,0,0,64600.8,1
5246766035,9682987315,"American Paradigm Unlimited, Inc 4",Silicon Opportunities LLC 3,0,0,116762.40000000001,3
5246766035,9682987315,"American Paradigm Unlimited, Inc 4",Silicon Opportunities LLC 3,0,0,40221.6,1
5246766035,6334910569,"American Paradigm Unlimited, Inc 4",Future Solutions LLC 4,0,0,78752.4,1
5246766035,251984844,"American Paradigm Unlimited, Inc 4",Technical Computer Ltd 5,0,0,64700.39999999999,1
8419373810,6245441944,Open Unified Studios,Profit Computer Concierge,0,0,108729.59999999999,2
8419373810,6793012915,Open Unified Studios,Silicon Corp 2,0,0,34191.6,1
8419373810,3811413399,Open Unified Studios,Key Digital Concierge 9,0,0,57794.399999999994,1
5961397803,3922206760,North American Trade Group 5,Quantum Server Universal 9,0,0,53163.600000000006,1
5961397803,7359415072,North American Trade Group 5,Technical Concepts Studios 6,0,0,71518.8,1
5961397803,3896343232,North American Trade Group 5,Jansen Enterprises,0,0,20937.600000000002,1
5961397803,9114132821,North American Trade Group 5,Red Hat Computer Resources 5,0,0,45849.600000000006,1
5961397803,3872268138,North American Trade Group 5,Micro Production 9,0,0,52252.799999999996,1
7442337379,4500848147,Canadian Media Design 2,"Continential Automation Unlimited, Inc",0,0,73070.4,1
7442337379,8196721591,Canadian Media Design 2,Expert Trade Design 9,0,0,43798.8,1
7442337379,6241557590,Canadian Media Design 2,Internet Community Group 2,0,0,38193.6,1
2006857412,5668130030,Cyber Paradigm Design 5,Micro Interactive Resources,0,0,58610.4,1
2006857412,920353466,Cyber Paradigm Design 5,Red Hat Computer Resources 3,0,1,48501.600000000006,1
2006857412,7428322583,Cyber Paradigm Design 5,Expert Interactive Resources 10,0,0,16028.400000000001,1
2006857412,4144146297,Cyber Paradigm Design 5,Certified Security,0,0,48540.0,1
2006857412,1540517521,Cyber Paradigm Design 5,Open Unified Studios 5,0,0,51547.2,1
2006857412,695304367,Cyber Paradigm Design 5,Continential Wireless Worldwide 5,0,0,27528.0,1
6201251350,5001223074,Ironclad Client Group,Canadian Media Design 7,0,0,55371.6,1
6201251350,7635621065,Ironclad Client Group,Internet Computer Vision 9,0,1,96151.2,2
6201251350,5611529312,Ironclad Client Group,Silicon Opportunities LLC 4,0,0,47777.99999999999,1
6201251350,7029928924,Ironclad Client Group,Cyber Innovation Corp 10,0,0,36026.4,1
7091047208,2607972283,Profit Production Concierge 9,Enigma Wireless Design 3,1,0,189255.59999999998,3
7091047208,2607972283,Profit Production Concierge 9,Enigma Wireless Design 3,1,0,58981.2,1
7091047208,862772879,Profit Production Concierge 9,TestAuthorized,1,0,21600.0,1
5354714899,6075974367,Micro Interactive Resources 4,Canadian Community Group 5,0,0,67659.6,1
5354714899,3774808052,Micro Interactive Resources 4,External Media Corp 2,0,0,62001.6,1
1737739372,480731217,Graphic Client Concierge 3,Canadian Community Group 3,0,0,31076.4,1
1737739372,6355567009,Graphic Client Concierge 3,"Profit Interactive Unlimited, Inc",0,0,24738.0,1
