TXPYR_ID,TXPYR_IDTYPE,TXPYR_NAME,BUSINESS_TYPE,BALANCE,RATIO_OF_PAYMENTS_DUE,NON_COMPL_PROB,BANKRUPTCY_PROB,INVOICED_SALES_AMOUNT,INVOICED_SALES_TAX_AMOUNT,INVOICED_PURCHASED_AMOUNT,YEAR
3631325814,TIN,Cyber Security 3,Private Company Limited by Shares,136054,0.0,0.3565905863105924,0.8631417441868735,308839.19999999995,51473.2,57918.0,2019
4839332485,TIN,"American Paradigm Unlimited, Inc 3",Subsidiary Company,75475,0.0,0.036708325243716436,0.8111226508019483,138867.6,23144.6,206450.40000000002,2019
6981756676,TIN,Moving Business 10,Limited Partnership,275221,0.0,0.8105471999748339,0.08093645270699065,210670.80000000002,35111.79999999999,231894.0,2019
4997713523,TIN,"Open Networks Unlimited, Inc 5",Unlimited Partnership,168007,0.0,0.6621075508312522,0.7378307082694545,119224.79999999999,19870.799999999992,226987.19999999998,2019
9591475563,TIN,Corporate Opportunities Ltd 4,Unlimited Partnership,198705,0.0,0.18581466491211665,0.09716024226713738,153153.6,25525.6,161468.4,2019
1158429050,TIN,Profit Server Concierge 7,Private Company Limited by Shares,296355,0.0,0.5042666788542908,0.6960891658948456,186750.0,31124.999999999993,155960.4,2019
9162886236,TIN,"External Client Unlimited, Inc 9",Unlimited Partnership,270750,0.0,0.6112517508244456,0.3025169568855935,126979.2,21163.199999999997,38438.4,2019
7751355833,TIN,Visual Interworks Design 2,Public Limited Company,226751,0.0,0.6996456154368936,0.746927374350241,104725.2,17454.199999999997,284662.8,2019
2174249386,TIN,Canadian Community Group 2,Unlimited Partnership,96220,0.0,0.636608942624091,0.42871155919073606,151525.2,25254.199999999993,91202.4,2019
4561308304,TIN,Certified Security 5,Sole Proprietorship,78559,0.0,0.29888699047212225,0.5141852538727677,99470.4,16578.39999999999,159801.6,2019
9352898330,TIN,Reliable Services Advertising 5,Sole Proprietorship,199135,0.16251840238118215,0.058109321075168044,0.3045307208045725,157395.6,26232.6,137211.6,2019
4846671032,TIN,Administrative Innovation 2,Holding Company,286863,0.0,0.5975122571481671,0.760771582906768,241560.0,40260.00000000001,374878.8,2019
5246766035,TIN,"American Paradigm Unlimited, Inc 4",Limited Partnership,158571,0.0,0.05281321323572844,0.45368221694143657,419317.2,69886.19999999998,137101.2,2019
8419373810,TIN,Open Unified Studios,Chartered Company,151555,0.0,0.00852887037092025,0.16960289683378793,177614.4,29602.399999999987,231494.4,2019
5961397803,TIN,North American Trade Group 5,Sole Proprietorship,20756,0.0,0.3579228219595577,0.36122657812691683,243722.4,40620.40000000001,249212.4,2019
7442337379,TIN,Canadian Media Design 2,Public Limited Company,272809,0.24682131422450865,0.3691579820567208,0.266176042126622,155062.8,25843.799999999996,374305.2,2019
2006857412,TIN,Cyber Paradigm Design 5,Chartered Company,297106,0.4041124403126335,0.32435828869235495,0.11928390607043786,250755.59999999998,41792.600000000006,421980.0,2019
6201251350,TIN,Ironclad Client Group,Private Company Limited by Shares,220149,0.0,0.3412484054166499,0.02467985871013121,249327.59999999998,41554.599999999984,328040.39999999997,2019
7091047208,TIN,Profit Production Concierge 9,Subsidiary Company,81981,0.0,0.6117146430512846,0.36086953583184384,221665.2,36944.20000000001,30588.0,2019
